time;frequency;state;destination;status;station_id;ber;sn
1577861669;14109000;SND;;TIS;YD0OXH3;16;11
1577988805;7049500;SND;;TIS;YD0OXH3;19;13
1577974103;7049500;SND;;TIS;YD0OXH3;13;10
1578031100;10145500;SND;;TWS;YD0OXH;15;12
1578063018;10145500;SND;;TWS;YD0OXH;18;13
1578056788;14109000;SND;;TIS;YD0OXH3;17;10
1578145334;10145500;SND;;TWS;YD0OXH;17;12
1578143476;10145500;SND;;TWS;YD0OXH;19;13
1578124104;10145500;SND;;TWS;YD0OXH;18;12
1578246082;7049500;SND;;TIS;YD0OXH3;20;13
1578243676;7049500;SND;;TIS;YD0OXH3;18;8
1578185304;7049500;SND;;TIS;YD0OXH3;13;9
1578325936;7049500;SND;;TIS;YD0OXH3;16;11
1578319096;7049500;SND;;TIS;YD0OXH3;18;12
1578359262;7049500;SND;;TWS;YD0OVK;10;8
1578355432;7049500;SND;;TWS;YD0OVK;20;7
1578490013;7049500;SND;;TWS;YD0OVK;20;9
1578487634;7049500;SND;;TIS;YD0OXH3;19;15
1578487288;7102000;SND;;TWS;YD0OXH;18;11
1578583455;7049500;SND;;TIS;YD0OXH3;16;11
1578573851;7049500;SND;;TIS;YD0OXH3;18;11
1578672615;7049500;SND;;TIS;YD0OXH3;19;8
1578662829;7049500;SND;;TIS;YD0OXH3;19;10
1578659807;7049500;SND;;TWS;YD0OVK;18;9
1578658154;7049500;SND;;TIS;YD0OXH3;20;8
1578655969;7049500;SND;;TWS;YD0OVK;16;7
1578650129;10145500;SND;;TWS;YD0OXH;21;12
1578641590;7049500;SND;;TIS;YD0OXH3;9;7
1578640634;14109000;SND;;TIS;YD0OXH3;16;8
1578638430;10145500;SND;;TWS;YD0OXH;26;12
1578634109;10145500;SND;;TWS;YD0OXH;24;12
1578709728;7049500;SND;;TWS;YD0OVK;18;9
1578708568;7049500;SND;;TWS;YD0OXH;18;9
1578704856;10145500;SND;;TWS;YD0OXH;20;8
1578702212;7102000;SND;;TWS;YD0OXH;30;15
1578786155;7102000;SND;;TWS;YD0OXH;24;10
1578773592;7049500;SND;;TIS;YD0OXH3;23;11
1578770650;7049500;SND;;TIS;YD0OXH3;25;13
1578768013;7049500;SND;;TIS;YD0OXH3;29;14
1578766448;7049500;SND;;TIS;YD0OXH3;19;7
1578766400;7102000;TO;DD3;TIS;AA9;18;11
1578766332;7102000;TO;DD3;TIS;AA9;19;11
1578766274;7102000;TO;DD3;TIS;AA9;20;11
1578766153;7102000;TO;DD3;TIS;AA9;16;10
1578766039;7102000;TO;DD3;TIS;AA9;17;11
1578765918;7102000;TO;DD3;TIS;AA9;14;9
